cantica,word,n,tf,idf,tf_idf
paradiso,denso,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,diversamente,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,giardino,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,gonna,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,imprenta,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,infiorare,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,perso,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,possanza,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,resplende,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,rivolta,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,scintilla,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,sem,4,0.000219635405227323,1.09861228866811,0.000241294155209337
paradiso,sigillare,4,0.000219635405227323,1.09861228866811,0.000241294155209337
inferno,avante,11,0.000581303176029171,0.405465108108164,0.000235698155112287
inferno,coda,11,0.000581303176029171,0.405465108108164,0.000235698155112287
inferno,tronco,11,0.000581303176029171,0.405465108108164,0.000235698155112287
purgatorio,coperse,4,0.000211999152003392,1.09861228866811,0.000232904873578145
purgatorio,devota,4,0.000211999152003392,1.09861228866811,0.000232904873578145
purgatorio,divieto,4,0.000211999152003392,1.09861228866811,0.000232904873578145
purgatorio,dolcemente,4,0.000211999152003392,1.09861228866811,0.000232904873578145
purgatorio,eva,4,0.000211999152003392,1.09861228866811,0.000232904873578145
purgatorio,fren,4,0.000211999152003392,1.09861228866811,0.000232904873578145
purgatorio,nuvola,4,0.000211999152003392,1.09861228866811,0.000232904873578145
purgatorio,rugiada,4,0.000211999152003392,1.09861228866811,0.000232904873578145
purgatorio,secol,4,0.000211999152003392,1.09861228866811,0.000232904873578145
purgatorio,surga,4,0.000211999152003392,1.09861228866811,0.000232904873578145
inferno,barbariccia,4,0.000211382973101517,1.09861228866811,0.000232227931864527
inferno,bestemmiare,4,0.000211382973101517,1.09861228866811,0.000232227931864527
inferno,bollor,4,0.000211382973101517,1.09861228866811,0.000232227931864527
inferno,brano,4,0.000211382973101517,1.09861228866811,0.000232227931864527
inferno,castello,4,0.000211382973101517,1.09861228866811,0.000232227931864527
inferno,cattivo,4,0.000211382973101517,1.09861228866811,0.000232227931864527
inferno,cerbero,4,0.000211382973101517,1.09861228866811,0.000232227931864527
inferno,cocito,4,0.000211382973101517,1.09861228866811,0.000232227931864527
inferno,compungere,4,0.000211382973101517,1.09861228866811,0.000232227931864527
inferno,demon,4,0.000211382973101517,1.09861228866811,0.000232227931864527
inferno,gio,4,0.000211382973101517,1.09861228866811,0.000232227931864527
inferno,gitto,4,0.000211382973101517,1.09861228866811,0.000232227931864527
